Dataset,Rep,Depth,Tool,LengthBin,Truth,TP,Recall,tool_display
human_U_10000,rep3,sequencing_50X,CircleMap,1-5kb,3562,3410,0.9573,Circle-Map
human_U_10000,rep1,sequencing_50X,CircleMap,5-50kb,361,338,0.9363,Circle-Map
human_U_10000,rep2,sequencing_50X,CircleMap,5-50kb,326,298,0.9141,Circle-Map
human_U_10000,rep3,sequencing_50X,CircleMap,5-50kb,354,335,0.9463,Circle-Map
human_U_10000,rep1,sequencing_50X,CircleMap,>50kb,277,251,0.9061,Circle-Map
human_U_10000,rep2,sequencing_50X,CircleMap,>50kb,274,246,0.8978,Circle-Map
human_U_10000,rep3,sequencing_50X,CircleMap,>50kb,242,219,0.905,Circle-Map
human_U_10000,rep1,sequencing_50X,ecc_finder,<1kb,5804,2224,0.3832,ecc_finder
human_U_10000,rep2,sequencing_50X,ecc_finder,<1kb,5826,2283,0.3919,ecc_finder
human_U_10000,rep3,sequencing_50X,ecc_finder,<1kb,5842,2269,0.3884,ecc_finder
human_U_10000,rep1,sequencing_50X,ecc_finder,1-5kb,3558,1708,0.48,ecc_finder
human_U_10000,rep2,sequencing_50X,ecc_finder,1-5kb,3574,1637,0.458,ecc_finder
human_U_10000,rep3,sequencing_50X,ecc_finder,1-5kb,3562,1621,0.4551,ecc_finder
human_U_10000,rep1,sequencing_50X,ecc_finder,5-50kb,361,162,0.4488,ecc_finder
human_U_10000,rep2,sequencing_50X,ecc_finder,5-50kb,326,138,0.4233,ecc_finder
human_U_10000,rep3,sequencing_50X,ecc_finder,5-50kb,354,128,0.3616,ecc_finder
human_U_10000,rep1,sequencing_50X,ecc_finder,>50kb,277,157,0.5668,ecc_finder
human_U_10000,rep2,sequencing_50X,ecc_finder,>50kb,274,173,0.6314,ecc_finder
human_U_10000,rep3,sequencing_50X,ecc_finder,>50kb,242,158,0.6529,ecc_finder
