Dataset,Rep,Depth,Tool,LengthBin,Truth,TP,Recall
ara_UMC_5200,rep1,sequencing_50X,eccDNA_RCA,>50kb,108,0,0.0
ara_UMC_5200,rep1,sequencing_50X,ecc_finder,<1kb,3081,6,0.0019
ara_UMC_5200,rep1,sequencing_50X,ecc_finder,1-5kb,1742,19,0.0109
ara_UMC_5200,rep1,sequencing_50X,ecc_finder,5-50kb,269,25,0.0929
ara_UMC_5200,rep1,sequencing_50X,ecc_finder,>50kb,108,47,0.4352
ara_UMC_5200,rep2,sequencing_50X,CircleMap,<1kb,3076,1820,0.5917
ara_UMC_5200,rep2,sequencing_50X,CircleMap,1-5kb,1712,1334,0.7792
ara_UMC_5200,rep2,sequencing_50X,CircleMap,5-50kb,322,148,0.4596
ara_UMC_5200,rep2,sequencing_50X,CircleMap,>50kb,90,75,0.8333
ara_UMC_5200,rep2,sequencing_50X,CircleSeeker,<1kb,3076,3017,0.9808
ara_UMC_5200,rep2,sequencing_50X,CircleSeeker,1-5kb,1712,1700,0.993
ara_UMC_5200,rep2,sequencing_50X,CircleSeeker,5-50kb,322,274,0.8509
ara_UMC_5200,rep2,sequencing_50X,CircleSeeker,>50kb,90,42,0.4667
ara_UMC_5200,rep2,sequencing_50X,CReSIL,<1kb,3076,1393,0.4529
ara_UMC_5200,rep2,sequencing_50X,CReSIL,1-5kb,1712,917,0.5356
ara_UMC_5200,rep2,sequencing_50X,CReSIL,5-50kb,322,110,0.3416
ara_UMC_5200,rep2,sequencing_50X,CReSIL,>50kb,90,37,0.4111
ara_UMC_5200,rep2,sequencing_50X,CReSIL_HiFi,<1kb,3076,1461,0.475
ara_UMC_5200,rep2,sequencing_50X,CReSIL_HiFi,1-5kb,1712,925,0.5403
ara_UMC_5200,rep2,sequencing_50X,CReSIL_HiFi,5-50kb,322,104,0.323
ara_UMC_5200,rep2,sequencing_50X,CReSIL_HiFi,>50kb,90,40,0.4444
ara_UMC_5200,rep2,sequencing_50X,eccDNA_RCA,<1kb,3076,2127,0.6915
ara_UMC_5200,rep2,sequencing_50X,eccDNA_RCA,1-5kb,1712,1398,0.8166
ara_UMC_5200,rep2,sequencing_50X,eccDNA_RCA,5-50kb,322,77,0.2391
ara_UMC_5200,rep2,sequencing_50X,eccDNA_RCA,>50kb,90,0,0.0
ara_UMC_5200,rep2,sequencing_50X,ecc_finder,<1kb,3076,15,0.0049
ara_UMC_5200,rep2,sequencing_50X,ecc_finder,1-5kb,1712,31,0.0181
ara_UMC_5200,rep2,sequencing_50X,ecc_finder,5-50kb,322,34,0.1056
ara_UMC_5200,rep2,sequencing_50X,ecc_finder,>50kb,90,33,0.3667
ara_UMC_5200,rep3,sequencing_50X,CircleMap,<1kb,3073,1844,0.6001
ara_UMC_5200,rep3,sequencing_50X,CircleMap,1-5kb,1764,1333,0.7557
ara_UMC_5200,rep3,sequencing_50X,CircleMap,5-50kb,276,125,0.4529
ara_UMC_5200,rep3,sequencing_50X,CircleMap,>50kb,87,74,0.8506
ara_UMC_5200,rep3,sequencing_50X,CircleSeeker,<1kb,3073,3027,0.985
ara_UMC_5200,rep3,sequencing_50X,CircleSeeker,1-5kb,1764,1748,0.9909
ara_UMC_5200,rep3,sequencing_50X,CircleSeeker,5-50kb,276,228,0.8261
