Tool,Dataset,Rep,Depth,Time_seconds,Memory_GB,CS_Internal_Time_seconds
ecc_finder,human_23000,rep3,sequencing_50X,10815.0,54.99,
ecc_finder,human_U_10000,rep1,sequencing_10X,1009.04,8.98,
ecc_finder,human_U_10000,rep1,sequencing_30X,3131.14,16.04,
ecc_finder,human_U_10000,rep1,sequencing_50X,5277.0,26.89,
ecc_finder,human_U_10000,rep2,sequencing_10X,1055.32,8.83,
ecc_finder,human_U_10000,rep2,sequencing_30X,3247.02,16.33,
ecc_finder,human_U_10000,rep2,sequencing_50X,5142.0,27.39,
ecc_finder,human_U_10000,rep3,sequencing_10X,1044.13,8.82,
ecc_finder,human_U_10000,rep3,sequencing_30X,2891.65,15.32,
ecc_finder,human_U_10000,rep3,sequencing_50X,4636.0,25.67,
